price_tier,profit_tier,rank,relative_price,action_0,action_1,action_2,action_3,action_4,action_5,action_6
1,2,1,0,0.0,0.0,0.0,1677.9560358881547,0.0,0.0,0.0
1,2,0,0,15055.156471630948,0.0,7722.1471183956355,8015.5680822629,7978.628455699394,0.0,3794.445435930372
0,2,0,0,1685.4809056093072,0.0,2737.6663136903762,0.0,0.0,4576.042250959981,1420.7129397807987
0,1,0,0,0.0,3047.948959139827,6814.218599570402,776.1497302078991,1052.2672806342423,1235.5920065857028,2168.940733147139
1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,0.639722517679724,0.001460519837904692,0.6273768459450535,0.0,19.393676546903706,6.904084614508225,0.0
0,1,1,0,0.0,615.2805322380651,0.0,39.36212285732183,32.458785057351854,146.5841567996644,48.819082992983695
0,0,4,0,-176.90352014451912,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,0,0.7177363382994156,0.0,0.0,2.161508621810868,0.0,0.0,0.0
0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,1,0.00017265135397418572,0.0,0.0,0.0,0.0,0.0034071961364421513,1.3854229183889943e-05
0,1,3,0,1.2368954349313998e-05,0.0,1.159016205451892,0.0,0.0,0.0,0.0
0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,0.0,7.311041392747473e-08,0.0,0.0,2.7756718975465467e-09,0.0,0.0
