price_tier,profit_tier,rank,relative_price,action_0,action_1,action_2,action_3,action_4,action_5,action_6
1,2,0,0,0.0,0.0,0.0,2193.063803127277,0.0,0.0,0.0
1,2,1,0,1955.950239540128,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,6.646783472056484,0.0,12.628924741143543,6.650406094743291,17.348317990686926,6.64753953964617,66.467834548602
1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.426409839264762e-23,0.0
2,1,1,1,5.164889065401447e-27,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,1,0.0,0.0,0.0,4.310056965726347e-26,0.0,0.0,0.0
2,1,3,1,0.0,2.4032739341101532e-27,0.0,0.0,1.0599441165654815e-14,0.0,7.830888044324063e-23
2,1,3,2,1.873544307626828e-28,4.0357352408562785e-28,2.0817158972688027e-28,2.289887486995682e-27,2.081715897268806e-28,0.0,3.974199176490192e-28
2,1,4,2,0.0,2.2785676631381903e-46,0.0,0.0,0.0,0.0,0.0
1,1,3,2,7.569091084657168e-30,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,2.022863587901017e-12,3.1216310752289973e-15,0.0,0.0,0.0,0.0,0.0
1,1,2,1,5.912210176393117e-20,0.0,0.0,0.0,0.0,1.0316917690692799e-13,1.0316888700921217e-12
1,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0,0.0,1.165167243721018e-09,0.0007967419639837063,0.0,0.007731370693684729,0.0,0.0
0,1,2,0,0.0,0.0,0.0,0.9081042767034853,1.3337659834226974,0.0,0.0
0,1,0,0,0.0,0.0,1717.5899660393698,0.6948804517572583,519.0691698826397,0.0,112.38596624891343
0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,1,4.6049900637114874e-07,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,21.523813928863703,110.85407522186577,6.452091913296693,3.6986493057287277,10.773736504343356,2.270665421510745,15.04740061752318
